"additionalInfo/Accessibility/0/Assistive hearing loop","additionalInfo/Accessibility/0/Wheelchair accessible entrance","additionalInfo/Accessibility/0/Wheelchair accessible parking lot","additionalInfo/Accessibility/0/Wheelchair accessible restroom","additionalInfo/Accessibility/0/Wheelchair accessible seating","additionalInfo/Accessibility/1/Wheelchair accessible entrance","additionalInfo/Accessibility/1/Wheelchair accessible parking lot","additionalInfo/Accessibility/1/Wheelchair accessible restroom","additionalInfo/Accessibility/1/Wheelchair accessible seating","additionalInfo/Accessibility/2/Wheelchair accessible parking lot","additionalInfo/Accessibility/2/Wheelchair accessible restroom","additionalInfo/Accessibility/2/Wheelchair accessible seating","additionalInfo/Accessibility/3/Wheelchair accessible restroom","additionalInfo/Accessibility/3/Wheelchair accessible seating","additionalInfo/Accessibility/4/Wheelchair accessible seating","additionalInfo/Amenities/0/Gender-neutral restroom","additionalInfo/Amenities/0/Restroom","additionalInfo/Amenities/0/Wi-Fi","additionalInfo/Amenities/1/Paid Wi-Fi","additionalInfo/Amenities/1/Restroom","additionalInfo/Amenities/1/Wi-Fi","additionalInfo/Amenities/2/Free Wi-Fi","additionalInfo/Amenities/2/Wi-Fi","additionalInfo/Amenities/3/Free Wi-Fi","additionalInfo/Children/0/Good for kids","additionalInfo/Crowd/0/LGBTQ+ friendly","additionalInfo/From the business/0/Identifies as women-owned","additionalInfo/Offerings/0/Organic products","additionalInfo/Offerings/0/Small plates","additionalInfo/Offerings/1/Prepared foods","additionalInfo/Offerings/2/Salad bar","additionalInfo/Parking/0/Free street parking","additionalInfo/Payments/0/Cash-only","additionalInfo/Payments/0/Checks","additionalInfo/Payments/0/Credit cards","additionalInfo/Payments/0/Debit cards","additionalInfo/Payments/0/Google Pay","additionalInfo/Payments/0/NFC mobile payments","additionalInfo/Payments/1/Checks","additionalInfo/Payments/1/Credit cards","additionalInfo/Payments/1/Debit cards","additionalInfo/Payments/1/Google Pay","additionalInfo/Payments/1/NFC mobile payments","additionalInfo/Payments/2/Credit cards","additionalInfo/Payments/2/Debit cards","additionalInfo/Payments/2/Google Pay","additionalInfo/Payments/2/NFC mobile payments","additionalInfo/Payments/3/Credit cards","additionalInfo/Payments/3/Debit cards","additionalInfo/Payments/3/Google Pay","additionalInfo/Payments/3/NFC mobile payments","additionalInfo/Payments/4/Credit cards","additionalInfo/Payments/4/Google Pay","additionalInfo/Payments/4/NFC mobile payments","additionalInfo/Payments/5/Credit cards","additionalInfo/Payments/5/NFC mobile payments","additionalInfo/Payments/6/Credit cards","additionalInfo/Recycling/0/Batteries","additionalInfo/Recycling/0/Plastic bags","additionalInfo/Service options/0/Curbside pickup","additionalInfo/Service options/0/Delivery","additionalInfo/Service options/0/In-store shopping","additionalInfo/Service options/0/No-contact delivery","additionalInfo/Service options/0/Takeout","additionalInfo/Service options/1/Delivery","additionalInfo/Service options/1/Dine-in","additionalInfo/Service options/1/In-store pickup","additionalInfo/Service options/1/In-store shopping","additionalInfo/Service options/1/No-contact delivery","additionalInfo/Service options/1/Onsite services","additionalInfo/Service options/1/Same-day delivery","additionalInfo/Service options/2/Delivery","additionalInfo/Service options/2/In-store pickup","additionalInfo/Service options/2/In-store shopping","additionalInfo/Service options/2/Onsite services","additionalInfo/Service options/2/Same-day delivery","additionalInfo/Service options/2/Takeout","additionalInfo/Service options/3/In-store pickup","additionalInfo/Service options/3/In-store shopping","additionalInfo/Service options/3/Onsite services","additionalInfo/Service options/3/Same-day delivery","additionalInfo/Service options/4/In-store shopping","additionalInfo/Service options/4/Onsite services","additionalInfo/Service options/4/Same-day delivery","additionalInfo/Service options/5/Onsite services","additionalInfo/Service options/5/Same-day delivery","additionalInfo/Service options/6/Same-day delivery","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categoryName","cid","city","claimThisBusiness","countryCode","description","fid","googleFoodUrl","imageUrl","imagesCount","isAdvertisement","locatedIn","location/lat","location/lng","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","placeId","postalCode","price","rank","reserveTableUrl","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","title","totalScore","url","website"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,"true","true",,,,,,,,,,,,,,,,,"true",,,,,,,"true",,,,,,,,"true",,,,,,,,,,,,"GROUND FLR, SAIFEE PARK, C-13, Dr Mascarenhas Rd, opp. POST OFFICE, Mustafa Bazar, Mazgaon, Mumbai, Maharashtra 400010, India","Grocery store",,,,,,,,,,"Grocery store","13971569426958662909","Mumbai","false","IN",,"0x3be7cfa8f9ac7f01:0xc1e4fc5e88943cfd",,"https://lh5.googleusercontent.com/p/AF1QipNNQz0I-wOxUewYfoIw8rDvbW7aXE0D7KBE6m9n=w408-h408-k-no","4","false",,"18.9748537","72.8402006","Mustafa Bazar, Mazgaon","Monday","10 AM to 12:30 AM","Tuesday","10 AM to 12:30 AM","Wednesday","10 AM to 12:30 AM","Thursday","10 AM to 12:30 AM","Friday","10 AM to 12:30 AM","Saturday","10 AM to 12:30 AM","Sunday","10 AM to 12:30 AM","false",,,"ChIJAX-s-ajP5zsR_TyUiF785ME","400010",,"1",,"8",,,,,,"2024-09-22T16:37:15.325Z","https://www.google.com/maps/search/grocery/@18.98101839007908,72.82988427305192,16z?hl=en","grocery","Maharashtra","GROUND FLR, SAIFEE PARK, C-13, Dr Mascarenhas Rd, opp. POST OFFICE","साउथ मुंबई ग्रोसरीज","false","SOUTH MUMBAI GROCERIES","3.9","https://www.google.com/maps/search/?api=1&query=SOUTH%20MUMBAI%20GROCERIES&query_place_id=ChIJAX-s-ajP5zsR_TyUiF785ME",
,,,,,,,,,,,,,,,"true",,,,,,,,,,,"true",,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,"true",,,,,,,,,,"true",,,,,,,,,,,,,"Shop no 4, Building, Saifee Park, 20, Post, Dr Mascarenhas Rd, Mumbai, Maharashtra 400010, India","Grocery delivery service","Gourmet grocery store",,,,,,,,,"Grocery delivery service","9604187038598287284","Mumbai","false","IN",,"0x3be7cf8eded71d11:0x8548ed39f80fcfb4",,"https://lh5.googleusercontent.com/p/AF1QipNqqQrDiRH-zVnTTwWCbUQJUNCqFPV8YvLEKoZU=w428-h240-k-no","4","false",,"18.9725785","72.8402452","Anjeer Wadi, Mustafa Bazar, Byculla","Monday","8 AM to 12 AM","Tuesday","8 AM to 12 AM","Wednesday","8 AM to 12 AM","Thursday","8 AM to 12 AM","Friday","8 AM to 12 AM","Saturday","8 AM to 12 AM","Sunday","8 AM to 12 AM","false","+91 99876 78601","+919987678601","ChIJER3X3o7P5zsRtM8P-DntSIU","400010",,"2",,"61",,,,,,"2024-09-22T16:37:15.332Z","https://www.google.com/maps/search/grocery/@18.98101839007908,72.82988427305192,16z?hl=en","grocery","Maharashtra","Shop no 4, Building, Saifee Park, 20, Post, Dr Mascarenhas Rd",,"false","Farm Fresh : Best Organic Grocery Store in Mumbai","4.9","https://www.google.com/maps/search/?api=1&query=Farm%20Fresh%20%3A%20Best%20Organic%20Grocery%20Store%20in%20Mumbai&query_place_id=ChIJER3X3o7P5zsRtM8P-DntSIU","http://www.ff-farmfresh.in/"
,"true",,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,"true",,,,,,"true",,,,,,,,,,,,,,,,"true",,"true",,,,,,,,"true",,,,,,,"true",,,,"true",,,,"Central City Mall, Police Chowky, K Kadam Marg, near Mumbai Central, Marzban Parsi Colony, Dalal Estate, Mumbai Central, Mumbai, Maharashtra 400008, India","Hypermarket","FMCG goods wholesaler","Grocery delivery service","Indian grocery store","Shopping mall",,,,,,"Hypermarket","2804492067068063854","Mumbai","false","IN",,"0x3be7ce6c57bdb78f:0x26eb8ead18fe306e",,"https://lh5.googleusercontent.com/p/AF1QipOOgMO54ddjiL-WS6N6fdEgf1xvalRwgxqUn3HX=w408-h544-k-no","486","false",,"18.9678257","72.8199091","Marzban Parsi Colony, Dalal Estate, Mumbai Central","Monday","7 AM to 11 PM","Tuesday","7 AM to 11 PM","Wednesday","7 AM to 11 PM","Thursday","7 AM to 11 PM","Friday","7 AM to 11 PM","Saturday","7 AM to 11 PM","Sunday","7 AM to 11 PM","false","+91 1800 891 0001",,"ChIJj7e9V2zO5zsRbjD-GK2O6yY","400008",,"3",,"3373",,,,,,"2024-09-22T16:37:15.333Z","https://www.google.com/maps/search/grocery/@18.98101839007908,72.82988427305192,16z?hl=en","grocery","Maharashtra","Central City Mall, Police Chowky, K Kadam Marg, near Mumbai Central","रिलायन्स स्मार्ट","false","Reliance SMART Superstore","3.9","https://www.google.com/maps/search/?api=1&query=Reliance%20SMART%20Superstore&query_place_id=ChIJj7e9V2zO5zsRbjD-GK2O6yY","http://storelocator.ril.com/Retail.aspx"
,"false",,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,"true",,,,,,"true","true",,,,,,,,,,,,,,,"true",,"true",,,,,,,,"true",,,,,,,"true",,,,"true",,,,"Opposite Railway Station, Bhaji Galli, Grant Road, Mumbai, Maharashtra 400007, India","Supermarket",,,,,,,,,,"Supermarket","9007694382627905700","Mumbai","false","IN",,"0x3be7ce0d43664251:0x7d01c250f1d160a4",,"https://lh5.googleusercontent.com/p/AF1QipOvg2qpgsblQmQzFooFKKhnI3KJbHGgiJK0cDxM=w408-h271-k-no","63","false",,"18.963175","72.8152698","Grant Road West, Grant Road (W), Tardeo","Monday","9 AM to 9 PM","Tuesday","9 AM to 9 PM","Wednesday","9 AM to 9 PM","Thursday","9 AM to 9 PM","Friday","9 AM to 9 PM","Saturday","9 AM to 9 PM","Sunday","9 AM to 9 PM","false","+91 22 2389 6635","+912223896635","ChIJUUJmQw3O5zsRpGDR8VDCAX0","400007",,"2",,"564",,,,,,"2024-09-22T16:37:15.439Z","https://www.google.com/maps/search/grocery/@18.96477430992091,72.81271501915576,16z?hl=en","grocery","Maharashtra","Opposite Railway Station, Bhaji Galli, Grant Road","वेलकम सुपर मार्केट","false","Welcome Super Market","4.3","https://www.google.com/maps/search/?api=1&query=Welcome%20Super%20Market&query_place_id=ChIJUUJmQw3O5zsRpGDR8VDCAX0",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"true",,,,,,,,,,,,,,,,,,,,"true",,"true",,,,,,,,,,"true",,,,,,"true",,,,,,,"grd flr Chaitya 777, Block sector, Shop no 9, wing A, Dr Baba Saheb Ambedkar Rd, opp. Voltas House, Chinchpokli, Mumbai, Maharashtra 400012, India","Indian grocery store",,,,,,,,,,"Indian grocery store","16936951505760719942","Mumbai","false","IN",,"0x3be7cfb9db5df6eb:0xeb0c23a89ee29446",,"https://lh5.googleusercontent.com/p/AF1QipP0Eri4kQkIPrQVUNiPAU1ggGtyHiQO1-LR9DSR=w408-h271-k-no","72","false",,"18.9860795","72.8353995","Chinchpokli","Monday","9:30 AM to 9 PM","Tuesday","9:30 AM to 9 PM","Wednesday","9:30 AM to 9 PM","Thursday","9:30 AM to 9 PM","Friday","9:30 AM to 9 PM","Saturday","9:30 AM to 9 PM","Sunday","9:30 AM to 9 PM","false","+91 72089 68891","+917208968891","ChIJ6_Zd27nP5zsRRpTinqgjDOs","400012",,"4",,"94",,,,,,"2024-09-22T16:37:15.333Z","https://www.google.com/maps/search/grocery/@18.98101839007908,72.82988427305192,16z?hl=en","grocery","Maharashtra","grd flr Chaitya 777, Block sector, Shop no 9, wing A, Dr Baba Saheb Ambedkar Rd, opp. Voltas House","अर्बन ग्रीन्स","false","Urban Greens","4.6","https://www.google.com/maps/search/?api=1&query=Urban%20Greens&query_place_id=ChIJ6_Zd27nP5zsRRpTinqgjDOs","https://candrajaya13843.zoozle.in/"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,"true","true",,,"true",,,,,,"true",,,,,"true",,,,,"true",,,,"true","true",,,,,,"true",,,,,,"true",,,,,,,,"true",,,,,,"true",,,,,,,"Shop no. 4, Alankar Building, Dr Annie Besant Rd, nr. Kalki showroom, B Wing, Worli, Mumbai, Maharashtra 400030, India","Grocery store",,,,,,,,,,"Grocery store","14863145760372122912","Mumbai","false","IN",,"0x3be7cf03ec8243b1:0xce4480521bd56520",,"https://lh5.googleusercontent.com/p/AF1QipMVfgjUuC4_AjB-BwP8p0RRvDUl513LeqlCJ98M=w408-h272-k-no","51","false",,"19.0027721","72.8155206","B Wing, Worli","Monday","6:45 AM to 11 PM","Tuesday","6:45 AM to 11 PM","Wednesday","6:45 AM to 11 PM","Thursday","6:45 AM to 11 PM","Friday","6:45 AM to 11 PM","Saturday","6:45 AM to 11 PM","Sunday","6:45 AM to 11 PM","false","+91 78080 74040","+917808074040","ChIJsUOC7APP5zsRIGXVG1KARM4","400030",,"1",,"48",,,,,,"2024-09-22T16:37:15.483Z","https://www.google.com/maps/search/grocery/@18.99726247023725,72.81271501915576,16z?hl=en","grocery","Maharashtra","Shop no. 4, Alankar Building, Dr Annie Besant Rd, nr. Kalki showroom","राखांगिस 7 लप (कन्व्हेअन्स स्टोर)","false","Rakhangi's 7 LLP (Convenience Store)","4.5","https://www.google.com/maps/search/?api=1&query=Rakhangi's%207%20LLP%20(Convenience%20Store)&query_place_id=ChIJsUOC7APP5zsRIGXVG1KARM4",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,"true",,,,,,,,,,,,,,,,,"262, Bapty Rd, Navjeevan Society, Dalal Estate, Kamathipura, Mumbai, Maharashtra 400008, India","Indian grocery store",,,,,,,,,,"Indian grocery store","11868546536258091341","Mumbai","true","IN",,"0x3be7ce14de189aaf:0xa4b58c3145db394d",,"https://lh5.googleusercontent.com/p/AF1QipPcS8xn3amfrR-Jl6BgIuRoDqXDsMR0QAqfcT9f=w408-h306-k-no","4","false",,"18.963671","72.8246084","Navjeevan Society, Dalal Estate, Kamathipura","Monday","7 AM to 11 PM","Tuesday","7 AM to 11 PM","Wednesday","7 AM to 11 PM","Thursday","7 AM to 11 PM","Friday","7 AM to 11 PM","Saturday","7 AM to 11 PM","Sunday","7 AM to 11 PM","false","+91 93222 08862","+919322208862","ChIJr5oY3hTO5zsRTTnbRTGMtaQ","400008",,"3",,"14",,,,,,"2024-09-22T16:37:15.439Z","https://www.google.com/maps/search/grocery/@18.96477430992091,72.81271501915576,16z?hl=en","grocery","Maharashtra","262, Bapty Rd","मर्चंट स्टोर","false","Merchant Store","4.1","https://www.google.com/maps/search/?api=1&query=Merchant%20Store&query_place_id=ChIJr5oY3hTO5zsRTTnbRTGMtaQ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,,,,,,,,,,,"true",,,,,,"true",,,,,,,,,"true",,,,,,,,,,,,"Shop No. 14, Rangwala Building, Fancy Market, Red Cross St, Nagpada, Agripada, Mumbai, Maharashtra 400011, India","Grocery store",,,,,,,,,,"Grocery store","5835992941414124280","Mumbai","false","IN",,"0x3be7ce683906fc4b:0x50fd9ca8e8ad0af8",,"https://lh5.googleusercontent.com/p/AF1QipMnp7HvDecSUeSHE7iJQgTni2GrKaalBLvT1TPR=w408-h306-k-no","41","false",,"18.9748253","72.8266552","Nagpada, Agripada","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+91 98210 04623","+919821004623","ChIJS_wGOWjO5zsR-Aqt6Kic_VA","400011",,"5",,"50",,,,,,"2024-09-22T16:37:15.333Z","https://www.google.com/maps/search/grocery/@18.98101839007908,72.82988427305192,16z?hl=en","grocery","Maharashtra","Shop No. 14, Rangwala Building, Fancy Market, Red Cross St","गोल्डन अत्ता","false","Golden atta","5","https://www.google.com/maps/search/?api=1&query=Golden%20atta&query_place_id=ChIJS_wGOWjO5zsR-Aqt6Kic_VA",
,,,,,,,,,,,,,,,,,,,,,,,,,"true","true","true",,"true",,,,"true",,,,,,"true",,,,,"true",,,,,"true",,,,"true","true",,,,,,,,"true",,"true",,,,,,,,"true",,,,,,,,"true",,,,,,,"Anand Ashram Building, 107/6, Dr RG Thadani Marg, B Wing, Worli Sea Face, Worli, Mumbai, Maharashtra 400018, India","Supermarket",,,,,,,,,,"Supermarket","14876878350274735562","Mumbai","false","IN",,"0x3be7ce9a672601f1:0xce754a09dad32dca",,"https://lh5.googleusercontent.com/p/AF1QipOk1FE_gdZktnpzEIdiQiQNevCFoQ6VAkKsNWcg=w408-h306-k-no","4","false",,"19.0016428","72.8145902","B Wing, Worli Sea Face, Worli","Monday","7 AM to 9 PM","Tuesday","7 AM to 9 PM","Wednesday","7 AM to 9 PM","Thursday","7 AM to 9 PM","Friday","7 AM to 9 PM","Saturday","7 AM to 9 PM","Sunday","7 AM to 1 AM","false","+91 93225 09232","+919322509232","ChIJ8QEmZ5rO5zsRyi3T2glKdc4","400018",,"2",,"57",,,,,,"2024-09-22T16:37:15.483Z","https://www.google.com/maps/search/grocery/@18.99726247023725,72.81271501915576,16z?hl=en","grocery","Maharashtra","Anand Ashram Building, 107/6, Dr RG Thadani Marg","ओम द सुपर शॉपी","false","Om The Super Shopee","4","https://www.google.com/maps/search/?api=1&query=Om%20The%20Super%20Shopee&query_place_id=ChIJ8QEmZ5rO5zsRyi3T2glKdc4",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,"true",,,,,,,,,,"true",,,,"true",,,,,,,"Ground Floor, 96, Vitthalbhai Patel Rd, Khandwala Buildling, opp. Chanda Ramji High School, Mumbai, Maharashtra 400004, India","Ice cream shop","Indian grocery store",,,,,,,,,"Ice cream shop","16226874271623690410","Mumbai","false","IN",,"0x3be7cf262f8c9cf9:0xe131702d270e38aa","https://food.google.com/chooseprovider?restaurantId=/g/11qq9jwsnr&g2lbs=AOHF13mQhxU4oAU2wcI3prfPKGPnnFiVh-VVphTPDpT25lkePvibvAUAb8RyuvwqkuxNl5787M0atyPWsgcBZtUvnYJlBmrzYywcz3ocK7UxvFo-QRX4sKY%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=ukfwZua3G6mv5NoP2basGQ&ei=ukfwZua3G6mv5NoP2basGQ&fo_s=OA,SOE&opi=79508299&foub=mcpp","https://lh5.googleusercontent.com/p/AF1QipOIHimySHbRuE9cCAONzxgVBXshd6koL3I4bhG2=w408-h544-k-no","4","false",,"18.9557667","72.8249423","Charni Road East, Khetwadi, Girgaon","Monday","11 AM to 12 AM","Tuesday","11 AM to 12 AM","Wednesday","11 AM to 12 AM","Thursday","11 AM to 12 AM","Friday","11 AM to 12 AM","Saturday","11 AM to 12 AM","Sunday","11 AM to 12 AM","false",,,"ChIJ-ZyMLybP5zsRqjgOJy1wMeE","400004","$$","4",,"33",,,,,,"2024-09-22T16:37:15.439Z","https://www.google.com/maps/search/grocery/@18.96477430992091,72.81271501915576,16z?hl=en","grocery","Maharashtra","Ground Floor, 96, Vitthalbhai Patel Rd, Khandwala Buildling, opp. Chanda Ramji High School","नीलकंठ ग्रोसेरी स्टोर्स","false","NEELKANTH GROCERY STORES","4.3","https://www.google.com/maps/search/?api=1&query=NEELKANTH%20GROCERY%20STORES&query_place_id=ChIJ-ZyMLybP5zsRqjgOJy1wMeE","https://www.kwalitywalls.in/faq.html"
